ID,EventRR,RR_seasonality,R_a_s,AS,a_bm,b_bm,T0_bm,K_bm,RS_First,RS_Mid,ETR,VI,js_#,js_ID,b_js,a4_js,js_C,SN_js
10343500,0.12016,11.979,2.0475,336.48,0.095323,2.6227,38.041,0.074182,1.6001,0.10818,0.3192,0.3866,1,10343500,4,0.00003, LZR,500
11264500,0.15785,30.389,3.2078,400.19,0.13431,2.2577,10.854,0.10123,0.5392,0.1603,0.21501,0.67074,2,11264500,1.25,0.06, YOS,120
11266500,0.18755,24.429,2.7726,409.4,0.11298,2.338,14.225,0.096233,0.68454,0.13186,0.26257,0.65534,3,11266500,1.25,0.06, YOS,120
11381500,0.29871,3.3714,1.1957,328.06,0.01607,3.9122,37.023,0.078352,0.46368,0.14656,0.46784,0.27262,4,11381500,2.4,0.02, MIL,215
11473900,0.29652,1.9596,5.5578,503.85,0.094478,2.1281,17.083,0.086678,0.47454,0.086942,0.58897,0.90289,5,11473900,1.3,0.1, MER,100
11475560,0.40135,1.4088,2.9603,418.89,0.045511,1.9332,27.844,0.095976,1.1333,0.26681,0.57014,0.64618,6,11475560,1.7,0.04, ELC,190
11478500,0.46392,1.1394,4.0137,377.62,0.062712,2.0686,19.106,0.095307,0.47227,0.13238,0.62225,0.84259,7,11478500,1.3,0.1, MER,100
11480390,0.34865,1.1788,6.4446,437.07,0.086213,1.7166,20.105,0.12419,0.49503,0.11938,0.60901,1.1112,8,11480390,1.3,0.1, MER,100
11481200,0.44061,1.1737,2.7406,358.84,0.060447,2.277,21.654,0.13027,0.67898,0.16572,0.64634,0.62875,9,11481200,1.7,0.0566, LNS,150
11482500,0.42742,1.2411,4.1332,399.69,0.046163,2.1743,20.349,0.072923,0.43935,0.10521,0.62578,0.7552,10,11482500,1.5,0.05, WWW,180
11522500,0.33684,3.1109,1.9947,374.08,0.046354,3.2342,26.602,0.0493,0.50585,0.12205,0.48552,0.49175,11,11522500,1.6,0.052, SRS,149
11523200,0.39171,5.3173,2.1666,386.79,0.046062,2.7864,23.676,0.072399,0.66553,0.16982,0.43624,0.53493,12,11523200,1.6,0.052, SRS,149
11528700,0.24553,1.7078,2.7024,532.67,0.057321,2.328,33.712,0.053351,0.60555,0.13766,0.57322,0.62055,13,11528700,1.6,0.052, SRS,149
11532500,0.59965,1.2845,1.4235,281.18,0.026143,2.8885,20.773,0.064748,0.41784,0.13816,0.62567,0.53451,14,11532500,1.85,0.0251, LOC,205
12010000,0.59793,0.67056,1.6275,199.95,0.022519,2.1354,13.448,0.084786,0.59017,0.24637,0.65723,0.48366,15,12010000,1.75,0.032, MIN,200
12013500,0.44452,0.64082,2.2539,411.03,0.041303,2.0371,13.698,0.086965,0.56771,0.21277,0.65474,0.56697,16,12013500,1.5,0.05, WWW,180
12020000,0.40231,0.59388,2.2378,477.16,0.044141,2.1226,12.729,0.1137,0.79277,0.31059,0.60766,0.56977,17,12020000,1.7,0.0566, LNS,150
12025000,0.46693,0.78614,1.8582,321.27,0.047801,2.5378,13.159,0.085898,1.6604,0.27399,0.68255,0.49203,18,12025000,1.6,0.052, SRS,149
12025700,0.65062,0.90657,1.6722,263.05,0.019107,2.4673,15.37,0.083642,0.59984,0.31382,0.68674,0.43205,19,12025700,1.85,0.0251, LOC,205
12035000,0.65149,0.87957,1.2206,293.74,0.0083424,2.8414,19.614,0.057841,0.51297,0.14625,0.67768,0.42361,20,12035000,2,0.0142, COW,255
12040500,0.85401,1.0352,0.91027,166.66,0.010088,2.5955,10.193,0.082366,0.47708,0.13933,0.71795,0.37462,21,12040500,2,0.0142, COW,255
12043000,0.66699,0.78259,1.3731,475.65,0.019333,2.3577,10.651,0.079765,1.1545,0.26526,0.69943,0.46971,22,12043000,1.85,0.0251, LOC,205
12054000,0.65578,2.5683,1.2788,476.7,0.007343,2.8887,12.169,0.071851,0.95667,0.26659,0.63693,0.30676,23,12054000,2,0.0142, COW,255
12056500,0.83893,1.9808,1.5893,458.96,0.0043652,2.9296,12.827,0.070124,0.96433,0.34343,0.67923,0.34117,24,12056500,1.75,0.0166, NBK,210
12073500,0.22822,1.4345,1.4652,348.34,0.042496,3.0679,28.41,0.095887,0.64462,0.26343,0.57615,0.22908,25,12073500,3,0.00791, HCWA,262
12082500,0.54171,2.915,1.2383,822.55,0.0082038,2.5343,13.111,0.10581,0.41562,0.10437,0.68569,0.19737,26,12082500,2.75,0.00667, HBY,278
12092000,0.52565,3.4068,1.217,1050.5,0.0081137,2.7909,9.2716,0.10926,0.33621,0.095846,0.70368,0.19034,27,12092000,1.75,0.032, MIN,200
12114500,0.59608,2.6191,1.3993,580.03,0.01411,2.3319,14.541,0.078397,0.46496,0.15281,0.74033,0.37516,28,12114500,1.75,0.032, MIN,200
12115000,0.57939,2.2292,1.4141,510.55,0.016995,2.3567,13.917,0.074212,0.47297,0.14618,0.73009,0.37502,29,12115000,2.25,0.0151, BWK,220
12115500,0.70266,1.6404,1.7902,452.11,0.02464,2.1739,9.5439,0.11287,0.46321,0.1196,0.73949,0.41179,30,12115500,1.7,0.04, ELC,190
12117000,0.56221,1.3097,1.3954,300.5,0.0019999,3.2232,28.241,0.060213,0.84937,0.30633,0.71118,0.28032,31,12117000,2.25,0.00735, SAN,270
12141300,0.75936,2.2849,1.1255,534.67,0.015923,2.5696,7.3445,0.11185,0.54572,0.14111,0.79811,0.32097,32,12141300,1.75,0.032, MIN,200
12143600,0.62139,2.2407,1.2428,514.99,0.013435,2.8208,10.858,0.081073,0.51957,0.17766,0.75132,0.35383,33,12143600,2.4,0.0153, SFB,240
12145500,0.46234,0.74839,1.7604,319.16,0.046324,2.1553,10.399,0.12171,1.0628,0.29403,0.67904,0.4493,34,12145500,1.7,0.04, ELC,190
12147500,0.79771,1.4236,1.1835,354.37,0.0018264,3.6117,10.799,0.067579,0.66425,0.14086,0.77111,0.29489,35,12147500,2.25,0.00735, SAN,270
12147600,0.88573,1.6622,1.5136,366,0.035417,2.3665,4.7932,0.147,1.9628,0.44629,0.80179,0.40171,36,12147600,1.6,0.052, SRS,149
12167000,0.76274,1.3041,1.446,272.32,0.013689,2.861,9.1447,0.091876,0.52259,0.12588,0.74525,0.35037,37,12167000,2.25,0.0151, BWK,220
12178100,0.67252,4.4155,1.5195,896.41,0.010675,2.7089,9.4203,0.10307,1.537,0.25983,0.65414,0.28519,38,12178100,1.7,0.0566, LNS,150
12186000,0.78488,3.1597,1.8319,839.79,0.011862,2.5232,10.61,0.095189,0.57469,0.19179,0.74298,0.29751,39,12186000,2.25,0.00735, SAN,270
12488500,0.31972,8.2669,1.4383,716.74,0.023273,2.7386,26.928,0.07524,0.16835,0.079102,0.55512,0.37453,40,12488500,1.75,0.032, MIN,200
14137000,0.51353,1.91,1.1906,478.65,0.0065047,2.9368,17.493,0.073408,0.47827,0.078714,0.69411,0.29467,41,14137000,2.25,0.00735, SAN,270
14138800,0.61812,1.4417,1.8338,493.72,0.049891,2.0671,7.7363,0.1197,0.60561,0.24241,0.72907,0.54591,42,14138800,1.75,0.032, MIN,200
14138870,0.5411,1.2681,1.5678,545.82,0.032368,2.2006,9.2458,0.1092,0.80043,0.26332,0.75913,0.45836,43,14138870,1.75,0.032, MIN,200
14138900,0.67913,1.3753,0.91749,419.29,0.0071712,2.5741,10.629,0.12082,0.60351,0.11119,0.7495,0.35637,44,14138900,2.75,0.00397, SFM,300
14139800,0.65083,1.2155,1.2042,392.76,0.025839,2.0075,8.6145,0.11164,0.54066,0.13186,0.74318,0.42779,45,14139800,2.4,0.0153, SFB,240
14141500,0.59877,1.2916,1.8535,424.48,0.025658,2.1873,9.5263,0.10898,0.98035,0.33845,0.76269,0.43567,46,14141500,1.85,0.0251, LOC,205
14154500,0.38317,1.0464,2.8294,383.09,0.094536,2.1748,9.9016,0.10551,0.48982,0.22452,0.70506,0.61482,47,14154500,1.6,0.087, MOSROW,140
14158500,0.47158,3.3239,0.97123,627.5,0.00087229,2.8345,77.448,0.020059,0.08099,0.037132,0.61687,0.19529,48,14158500,2.5,0.00152, MOC,365
14158790,0.56416,1.9009,2.0039,525.88,0.038551,2.0482,12.462,0.08926,0.70236,0.30861,0.68369,0.58172,49,14158790,1.6,0.052, SRS,149
14182500,0.68306,1.146,2.0894,266.21,0.041371,2.2375,8.8493,0.090229,1.1117,0.23392,0.72675,0.55267,50,14182500,1.7,0.0566, LNS,150
14185000,0.54002,1.2661,2.3106,366.5,0.041487,2.3357,10.715,0.076617,2.2162,0.20496,0.70898,0.53866,51,14185000,1.6,0.052, SRS,149
14185900,0.6521,1.1146,2.1354,309.06,0.035388,2.3573,8.8,0.091512,0.88357,0.28321,0.7142,0.56619,52,14185900,1.7,0.04, ELC,190
14216500,0.61923,2.1277,1.0125,497.74,0.0093612,2.8486,17.042,0.045706,1.1831,0.18537,0.74877,0.38475,53,14216500,2,0.0142, COW,255
14222500,0.52348,1.0415,2.1468,443.41,0.03027,2.2445,12.079,0.082693,0.022371,0.40576,0.72832,0.49789,54,14222500,1.75,0.032, MIN,200
14236200,0.67727,1.0688,1.6168,253.58,0.022848,2.4352,13.033,0.074295,0.63835,0.20507,0.69985,0.44619,55,14236200,1.85,0.0251, LOC,205
14301000,0.41721,0.76898,2.6088,415.34,0.059102,2.0005,12.926,0.072134,0.7796,0.18469,0.66455,0.60762,56,14301000,1.5,0.05, WWW,180
14303200,0.53478,1.0796,1.732,287.78,0.02654,1.9289,15.1,0.094464,0.43216,0.15329,0.66322,0.4978,57,14303200,1.85,0.0251, LOC,205
14305500,0.70029,0.98047,1.9838,195.46,0.026073,2.2867,13.918,0.069639,1.0884,0.27396,0.70264,0.53434,58,14305500,1.75,0.032, MIN,200
14306340,0.42631,0.87364,3.0307,481.48,0.053111,1.95,14.602,0.12464,0.52493,0.16191,0.66606,0.63129,59,14306340,1.6,0.07, EFL,147
14306500,0.40622,0.96619,2.3325,421.47,0.028273,2.5702,22.532,0.058358,0.52961,0.18118,0.67143,0.5447,60,14306500,1.7,0.04, ELC,190
14308990,0.20957,1.1687,2.3131,507.78,0.074468,2.4443,33.131,0.093745,0.33766,0.10735,0.60906,0.48827,61,14308990,1.6,0.052, SRS,149
14309500,0.31362,0.76368,2.8631,502.07,0.085843,2.1731,18.166,0.10267,0.36668,0.13854,0.63535,0.68874,62,14309500,1.7,0.0566, LNS,150
